epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,53.274,1.99865,3.00924,2.52077,1.56068,0,0.06543,0.111,0.03452,0.01318,0.0494,0.06984,0.01907,0.00543,2.17079,22.6558,4.05289,1.95268,0,0.000330275,0.000330275,0.0673028
2,102.969,2.04001,2.82413,2.0784,1.5915,0,0.02751,0.10356,0.01189,0.00411,0.02888,0.07968,0.01207,0.00396,2.33505,4.67689,24.5019,2.07699,0,0.000663537,0.000663537,0.0343027
3,151.84,2.01508,2.77968,2.03673,1.56993,0,0.07179,0.37842,0.06353,0.02197,0.07539,0.38666,0.07417,0.02593,2.18941,3.8089,23.111,1.7915,0,0.000996509,0.000996509,0.00130232
4,200.984,1.98071,2.68908,1.96978,1.56452,0,0.43214,0.28118,0.1059,0.03473,0.43119,0.27519,0.1128,0.03883,1.98078,3.0524,7.8966,1.56048,0,0.000999023,0.000999023,0.000999023
5,249.903,1.90857,2.565,1.84964,1.50812,0,0.50139,0.2,0.1192,0.04576,0.5007,0.1967,0.1157,0.04249,2.19356,3.92396,3.28708,1.70215,0,0.000998264,0.000998264,0.000998264
6,298.598,1.85925,2.49882,1.77536,1.46635,0,0.2537,0.48855,0.37053,0.18224,0.26228,0.49518,0.37449,0.18714,1.79306,2.73466,1.71936,1.40491,0,0.000997288,0.000997288,0.000997288
7,347.273,1.81932,2.42983,1.71033,1.45397,0,0.26281,0.49007,0.35429,0.1602,0.27127,0.49604,0.38254,0.21069,1.80935,2.3248,1.9947,1.42986,0,0.000996097,0.000996097,0.000996097
8,395.904,1.82767,2.42713,1.69481,1.46071,0,0.63533,0.22816,0.21804,0.10029,0.68606,0.21657,0.21168,0.08057,1.86656,2.78075,1.98324,1.42088,0,0.00099469,0.00099469,0.00099469
9,444.472,1.78658,2.42272,1.65394,1.41808,0,0.3997,0.36841,0.37737,0.18508,0.41011,0.37996,0.38905,0.1803,1.84131,2.4624,1.73001,1.41412,0,0.000993068,0.000993068,0.000993068
10,492.822,1.76092,2.33776,1.60972,1.41252,0,0.73015,0.3973,0.40131,0.17729,0.74526,0.40881,0.41837,0.21981,1.73554,2.49988,1.63931,1.36651,0,0.000991232,0.000991232,0.000991232
11,541.497,1.74184,2.31324,1.56943,1.3912,0,0.75823,0.3585,0.38508,0.21054,0.79005,0.36505,0.40613,0.23088,1.88043,2.3446,1.72778,1.4161,0,0.000989183,0.000989183,0.000989183
12,590.118,1.73303,2.30805,1.57468,1.38868,0,0.32257,0.50533,0.45506,0.25131,0.32597,0.51104,0.46595,0.28033,1.66893,2.20741,1.49926,1.3131,0,0.000986922,0.000986922,0.000986922
13,638.732,1.70606,2.29506,1.56901,1.38436,0,0.77515,0.39629,0.44954,0.22234,0.8059,0.39255,0.448,0.237,1.76137,2.70143,1.52423,1.35954,0,0.000984449,0.000984449,0.000984449
14,686.9,1.70851,2.25838,1.54817,1.3873,0,0.76289,0.38492,0.39121,0.20641,0.75427,0.37659,0.38173,0.20017,1.77346,2.85013,1.84905,1.36982,0,0.000981765,0.000981765,0.000981765
15,735.308,1.70171,2.2877,1.54129,1.38715,0,0.46066,0.4956,0.49483,0.28393,0.46711,0.50449,0.50843,0.32474,1.6618,2.0937,1.41409,1.29757,0,0.000978873,0.000978873,0.000978873
16,784.033,1.68547,2.21137,1.5245,1.3601,0,0.49614,0.47546,0.49095,0.27445,0.49851,0.47607,0.4924,0.30505,1.69279,2.42884,1.37248,1.31338,0,0.000975773,0.000975773,0.000975773
17,832.418,1.67126,2.23015,1.47479,1.35588,0,0.51919,0.56711,0.5477,0.32267,0.52331,0.55434,0.56131,0.36181,1.6619,2.04263,1.34061,1.3076,0,0.000972466,0.000972466,0.000972466
18,881.344,1.66337,2.1966,1.47294,1.35498,0,0.78789,0.43919,0.50658,0.29626,0.79345,0.44356,0.5192,0.32623,1.64681,2.12256,1.58107,1.28639,0,0.000968955,0.000968955,0.000968955
