epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,294.233,1.97772,3.36203,4.41593,2.2524,0,0.00081,0.66667,0.00064,0.00016,0,0,0,0,0.08351,0.19927,10.2187,0.121,0,0.000332877,0.000332877,0.0670452
2,580.269,2.0336,3.23305,3.81054,2.36982,0,0.30264,0.33333,0.34967,0.13842,0.30264,0.33333,0.34967,0.14064,0.08719,0.13267,0.89532,0.13393,0,0.000665758,0.000665758,0.0340448
3,866.374,1.96257,3.07262,3.68323,2.30051,0,0.01668,0.33333,0.01214,0.00839,0.01668,0.33333,0.01249,0.00864,0.09094,0.10393,7.58334,0.12358,0,0.000996833,0.000996833,0.0010425
4,1150.58,1.85026,2.92884,3.51469,2.17022,0,0,0,0,0,0,0,0,0,0.08871,0.15386,0.25146,0.1274,0,0.000993906,0.000993906,0.000993906
5,1435.42,1.77387,2.7774,3.37199,2.09122,0,0.00285,0.66667,0.01858,0.00424,0.00285,0.66667,0.01858,0.00605,0.08431,0.10728,0.20858,0.12004,0,0.000989183,0.000989183,0.000989183
6,1719.75,1.76567,2.74805,3.2549,2.08751,0,0.00383,0.33333,0.00441,0.00264,0.00383,0.33333,0.00441,0.00176,0.08997,0.13062,0.19883,0.12758,0,0.000983133,0.000983133,0.000983133
7,2004.07,1.73908,2.67499,3.15762,2.04853,0,0.00158,0.33333,0.00322,0.00174,0.00158,0.33333,0.00322,0.00045,0.08015,0.17847,0.2518,0.11776,0,0.000975773,0.000975773,0.000975773
8,2288.1,1.73905,2.72052,3.20172,2.05807,0,0.04584,0.33333,0.04396,0.0194,0.04584,0.33333,0.04396,0.02219,0.0546,0.096,1.00235,0.08831,0,0.000967122,0.000967122,0.000967122
9,2567.81,1.70626,2.58198,3.05175,2.01557,0,0.01073,0.33333,0.16891,0.08423,0.01073,0.33333,0.16891,0.10126,0.063,0.09999,0.20614,0.09825,0,0.000957205,0.000957205,0.000957205
10,2847.83,1.70282,2.58962,2.95453,2.02703,0,0.04843,0.33333,0.1675,0.08381,0.04843,0.33333,0.1675,0.08386,0.07408,0.12596,0.23629,0.11372,0,0.000946048,0.000946048,0.000946048
11,3127.45,1.65372,2.49634,2.85142,1.97429,0,0.01283,0.33333,0.02312,0.01167,0.01283,0.33333,0.02312,0.01141,0.07919,0.10352,0.60746,0.11004,0,0.000933683,0.000933683,0.000933683
12,3407.17,1.59979,2.44637,2.77098,1.93642,0,0.01474,0.33333,0.03556,0.01757,0.01474,0.33333,0.03556,0.02175,0.05123,0.08458,0.46437,0.09482,0,0.000920142,0.000920142,0.000920142
13,3686.48,1.59555,2.45395,2.79058,1.9188,0,0.00503,0.33333,0.00867,0.00482,0.00503,0.33333,0.00867,0.005,0.07706,0.11035,0.82533,0.11603,0,0.000905463,0.000905463,0.000905463
14,3966.24,1.57596,2.36347,2.69674,1.90471,0,0.02942,0.33333,0.02803,0.01832,0.02942,0.33333,0.02803,0.01801,0.0621,0.10447,0.2603,0.10003,0,0.000889687,0.000889687,0.000889687
15,4245.72,1.58929,2.38634,2.61832,1.93614,0,0,0,0,0,0,0,0,0,0.07614,0.1679,0.24646,0.11541,0,0.000872857,0.000872857,0.000872857
16,4525.19,1.57514,2.36147,2.61008,1.9156,0,0.19442,0.33333,0.33648,0.26877,0.19442,0.33333,0.33648,0.26878,0.05109,0.06898,1.96044,0.08745,0,0.000855018,0.000855018,0.000855018
17,4805.33,1.53056,2.31422,2.53956,1.86856,0,0.16206,0.33333,0.11414,0.06822,0.16206,0.33333,0.11414,0.09046,0.06146,0.07523,1.67192,0.09155,0,0.00083622,0.00083622,0.00083622
18,5084.97,1.58274,2.35047,2.56334,1.89076,0,0.00117,0.66667,0.02395,0.01754,0.00117,0.66667,0.02395,0.01849,0.05469,0.06964,0.94576,0.09728,0,0.000816514,0.000816514,0.000816514
19,5364.43,1.51216,2.25453,2.49273,1.85104,0,0.00055,0.33333,0.00246,0.00148,0.00055,0.33333,0.00246,0.00172,0.05796,0.08348,0.33862,0.09253,0,0.000795954,0.000795954,0.000795954
20,5644.28,1.55552,2.32285,2.44643,1.89459,0,0.02589,0.33333,0.05034,0.03734,0.02589,0.33333,0.05034,0.03872,0.05971,0.06946,0.25412,0.09947,0,0.000774596,0.000774596,0.000774596
21,5923.69,1.53533,2.30695,2.4368,1.88479,0,0.0035,1,0.0886,0.06018,0.0035,1,0.0886,0.07007,0.06052,0.06783,0.21414,0.10054,0,0.0007525,0.0007525,0.0007525
22,6203.27,1.46343,2.19294,2.48247,1.79813,0,0.00364,0.66667,0.02845,0.01436,0.00364,0.66667,0.02936,0.02051,0.04406,0.07294,0.1819,0.08608,0,0.000729725,0.000729725,0.000729725
23,6482.44,1.49556,2.21878,2.42137,1.83607,0,0.00125,1,0.01665,0.00945,0.00125,1,0.01665,0.01299,0.05249,0.05892,0.34579,0.08931,0,0.000706335,0.000706335,0.000706335
24,6762.09,1.47105,2.24246,2.36153,1.82435,0,0.01616,0.33333,0.02912,0.01851,0.01616,0.33333,0.02964,0.02279,0.04701,0.05248,0.53853,0.08669,0,0.000682392,0.000682392,0.000682392
25,7041.67,1.44244,2.17808,2.35448,1.80069,0,0.15123,0.33333,0.08114,0.05529,0.15123,0.33333,0.08114,0.06405,0.04158,0.04862,2.16549,0.08542,0,0.000657963,0.000657963,0.000657963
26,7320.88,1.40034,2.14038,2.30264,1.73192,0,0.23688,0.33333,0.34129,0.30422,0.23688,0.33333,0.34129,0.23785,0.04088,0.0743,0.1858,0.08273,0,0.000633115,0.000633115,0.000633115
27,7600.59,1.46104,2.15799,2.34191,1.82307,0,0.41474,0.33333,0.38788,0.29784,0.41474,0.33333,0.38788,0.30571,0.04697,0.04633,0.26236,0.0812,0,0.000607916,0.000607916,0.000607916
