epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,19.9014,1.82817,2.71747,3.19845,2.30906,0,0.28653,0.20975,0.24721,0.10046,0.25102,0.11412,0.21321,0.09213,1.88497,2.62817,2.43602,2.0677,0,5e-05,5e-05,5e-05
2,35.6698,1.83175,2.76025,3.16765,2.33131,0,0.28238,0.21004,0.2404,0.09789,0.24956,0.11615,0.20841,0.09005,1.8971,2.66592,2.46664,2.07851,0,4.9863e-05,4.9863e-05,4.9863e-05
3,52.1462,1.76556,2.66925,2.77854,2.26816,0,0.27159,0.2187,0.24243,0.09863,0.24215,0.12345,0.2096,0.09065,1.90982,2.65388,2.38811,2.08643,0,4.94537e-05,4.94537e-05,4.94537e-05
4,68.4659,1.70617,2.55215,2.4146,2.23453,0,0.39639,0.24169,0.2423,0.09749,0.37801,0.13911,0.20774,0.09017,1.9247,2.6286,2.26254,2.09274,0,4.87764e-05,4.87764e-05,4.87764e-05
5,84.7345,1.6931,2.5639,2.25811,2.20202,0,0.34619,0.24819,0.24376,0.09578,0.31443,0.14605,0.20465,0.08882,1.94328,2.62449,2.214,2.1042,0,4.78386e-05,4.78386e-05,4.78386e-05
6,101.311,1.69446,2.5624,2.19333,2.19904,0,0.34578,0.25338,0.24139,0.09315,0.31568,0.15296,0.20099,0.08751,1.95992,2.62182,2.1762,2.11488,0,4.66506e-05,4.66506e-05,4.66506e-05
7,117.672,1.71098,2.50734,2.09463,2.19264,0,0.35249,0.25868,0.23757,0.09114,0.33306,0.15877,0.19858,0.08596,1.97066,2.63101,2.15375,2.1218,0,4.52254e-05,4.52254e-05,4.52254e-05
8,134.033,1.64741,2.48839,2.11851,2.20103,0,0.32004,0.26791,0.24237,0.09222,0.30327,0.1728,0.19864,0.08548,1.97703,2.62069,2.0726,2.12352,0,4.35786e-05,4.35786e-05,4.35786e-05
9,150.415,1.65055,2.42844,2.0267,2.18459,0,0.30851,0.27268,0.24186,0.09174,0.28715,0.17959,0.19947,0.08569,1.97547,2.61225,2.03376,2.12019,0,4.17283e-05,4.17283e-05,4.17283e-05
10,167.037,1.60626,2.43816,1.92741,2.14365,0,0.30907,0.26791,0.22538,0.08939,0.27179,0.18176,0.19792,0.08487,1.97782,2.60571,2.00853,2.11912,0,3.96946e-05,3.96946e-05,3.96946e-05
11,183.423,1.65316,2.46552,1.94823,2.14799,0,0.30021,0.26388,0.22321,0.08899,0.27524,0.17875,0.19698,0.08462,1.97501,2.60964,2.02368,2.11665,0,3.75e-05,3.75e-05,3.75e-05
12,200.076,1.65033,2.47101,2.00407,2.19172,0,0.30625,0.26576,0.22351,0.08939,0.27323,0.17976,0.19723,0.0851,1.96747,2.60236,2.01949,2.11023,0,3.51684e-05,3.51684e-05,3.51684e-05
13,216.479,1.60554,2.36013,1.8692,2.11671,0,0.30341,0.2637,0.22148,0.08876,0.27329,0.17803,0.19555,0.08441,1.96701,2.60556,2.01544,2.11019,0,3.27254e-05,3.27254e-05,3.27254e-05
14,233.114,1.63365,2.3597,1.88973,2.16237,0,0.30218,0.26906,0.22253,0.08981,0.26834,0.18119,0.19778,0.08552,1.96276,2.59578,1.979,2.10626,0,3.01978e-05,3.01978e-05,3.01978e-05
15,249.541,1.56677,2.3137,1.84325,2.07849,0,0.29033,0.2656,0.22145,0.08852,0.25749,0.17917,0.19573,0.08447,1.96387,2.59728,1.98265,2.10732,0,2.76132e-05,2.76132e-05,2.76132e-05
16,266.203,1.60178,2.35032,1.82638,2.11613,0,0.29035,0.2695,0.21796,0.08836,0.2571,0.17931,0.19581,0.08455,1.96239,2.60186,1.97379,2.1062,0,2.5e-05,2.5e-05,2.5e-05
17,282.599,1.60803,2.39598,1.91437,2.14646,0,0.28787,0.26847,0.21806,0.08873,0.26015,0.18321,0.19665,0.08473,1.96223,2.60297,1.96042,2.10584,0,2.23868e-05,2.23868e-05,2.23868e-05
18,299.038,1.56591,2.32408,1.82586,2.12126,0,0.28443,0.26175,0.217,0.08793,0.25705,0.18292,0.19609,0.0839,1.96431,2.61096,1.95754,2.10824,0,1.98022e-05,1.98022e-05,1.98022e-05
19,315.396,1.61336,2.40154,1.86416,2.13931,0,0.28638,0.26212,0.21383,0.08725,0.25348,0.1822,0.19518,0.0837,1.96511,2.6149,1.95662,2.10923,0,1.72746e-05,1.72746e-05,1.72746e-05
20,332.106,1.5482,2.24603,1.82305,2.12116,0,0.28178,0.26384,0.21251,0.0871,0.24865,0.18407,0.19504,0.08364,1.96231,2.61345,1.94103,2.10752,0,1.48316e-05,1.48316e-05,1.48316e-05
21,349.262,1.50623,2.04738,1.75241,2.08179,0,0.27954,0.26688,0.21683,0.08866,0.24388,0.19027,0.19819,0.08497,1.95952,2.60184,1.89236,2.10571,0,1.25e-05,1.25e-05,1.25e-05
