epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0333,1.38897,2.22076,2.10267,1.64524,0,0.68259,0.20503,0.27184,0.12527,0.69243,0.21079,0.27412,0.12374,1.67101,2.23267,1.8134,1.55175,0,5e-05,5e-05,5e-05
2,35.7586,1.38948,2.22514,2.02574,1.63247,0,0.62092,0.19404,0.21548,0.10472,0.62855,0.19612,0.22503,0.10502,1.71094,2.30811,1.94565,1.59291,0,4.9863e-05,4.9863e-05,4.9863e-05
3,52.2511,1.35248,2.14986,1.8794,1.60126,0,0.61706,0.18812,0.20491,0.09944,0.62995,0.19128,0.21446,0.09966,1.72767,2.32679,2.00603,1.6108,0,4.94537e-05,4.94537e-05,4.94537e-05
4,68.6301,1.32567,2.04829,1.65392,1.58867,0,0.63031,0.19218,0.21197,0.10347,0.63791,0.19938,0.22451,0.10426,1.73009,2.30584,1.87758,1.60716,0,4.87764e-05,4.87764e-05,4.87764e-05
5,84.9555,1.32649,2.04733,1.53986,1.5668,0,0.63131,0.20678,0.22138,0.10851,0.63709,0.21225,0.2361,0.10945,1.72058,2.28955,1.81838,1.59975,0,4.78386e-05,4.78386e-05,4.78386e-05
6,101.525,1.33274,2.06316,1.50984,1.56097,0,0.62093,0.21126,0.23242,0.11174,0.62976,0.21572,0.24187,0.11191,1.71241,2.28566,1.809,1.59645,0,4.66506e-05,4.66506e-05,4.66506e-05
7,117.871,1.3385,2.02202,1.42446,1.57561,0,0.61165,0.21391,0.23706,0.11291,0.62043,0.2194,0.25422,0.11361,1.7119,2.2899,1.80191,1.59725,0,4.52254e-05,4.52254e-05,4.52254e-05
8,134.555,1.30906,1.99822,1.42504,1.56815,0,0.61705,0.20927,0.2472,0.11645,0.62143,0.21401,0.26519,0.11677,1.70485,2.29625,1.78668,1.59273,0,4.35786e-05,4.35786e-05,4.35786e-05
9,150.933,1.32253,1.93317,1.34963,1.57831,0,0.61523,0.21116,0.24882,0.11708,0.62023,0.21619,0.26071,0.11651,1.70587,2.3004,1.80589,1.59481,0,4.17283e-05,4.17283e-05,4.17283e-05
10,167.562,1.26402,1.93134,1.33276,1.53459,0,0.60815,0.20838,0.2511,0.11823,0.61179,0.21211,0.26565,0.11846,1.70842,2.30266,1.84604,1.59846,0,3.96946e-05,3.96946e-05,3.96946e-05
11,183.974,1.33599,1.9847,1.35275,1.54784,0,0.61297,0.20597,0.24503,0.11462,0.61656,0.20956,0.2626,0.11577,1.71905,2.31546,1.89749,1.60836,0,3.75e-05,3.75e-05,3.75e-05
12,200.659,1.32839,2.02037,1.36782,1.58757,0,0.61789,0.19833,0.24369,0.11389,0.62212,0.20235,0.26377,0.11452,1.71923,2.32104,1.92354,1.60859,0,3.51684e-05,3.51684e-05,3.51684e-05
13,217.04,1.30469,1.90353,1.31076,1.52599,0,0.62792,0.20055,0.25085,0.11529,0.63138,0.20414,0.27133,0.11617,1.72197,2.31887,1.8998,1.60892,0,3.27254e-05,3.27254e-05,3.27254e-05
14,233.669,1.31392,1.90359,1.29191,1.57293,0,0.62872,0.20525,0.25281,0.11684,0.63489,0.20639,0.27673,0.11677,1.71388,2.31055,1.87385,1.59969,0,3.01978e-05,3.01978e-05,3.01978e-05
15,250.103,1.28142,1.86264,1.29439,1.49861,0,0.63087,0.20281,0.25673,0.11858,0.63372,0.20597,0.27961,0.11707,1.71101,2.30287,1.87637,1.59961,0,2.76132e-05,2.76132e-05,2.76132e-05
16,266.75,1.30728,1.94084,1.282,1.52595,0,0.63088,0.20273,0.2576,0.11864,0.63344,0.20561,0.27475,0.11634,1.70925,2.30495,1.88089,1.59723,0,2.5e-05,2.5e-05,2.5e-05
17,283.176,1.29654,1.92587,1.33293,1.53183,0,0.63021,0.20121,0.25384,0.1183,0.63354,0.20466,0.2793,0.11723,1.70795,2.30722,1.88545,1.59564,0,2.23868e-05,2.23868e-05,2.23868e-05
18,299.819,1.2783,1.87451,1.26388,1.53186,0,0.63101,0.2028,0.25939,0.11896,0.63345,0.20552,0.27767,0.11712,1.70772,2.30513,1.87841,1.59509,0,1.98022e-05,1.98022e-05,1.98022e-05
19,316.249,1.32942,1.97714,1.29087,1.56227,0,0.62798,0.19963,0.25612,0.11758,0.6274,0.20307,0.27242,0.11514,1.71154,2.31436,1.90824,1.59974,0,1.72746e-05,1.72746e-05,1.72746e-05
20,332.717,1.26904,1.8184,1.23599,1.52373,0,0.62539,0.20049,0.25711,0.11781,0.62855,0.20365,0.27172,0.11565,1.70934,2.31087,1.89066,1.59776,0,1.48316e-05,1.48316e-05,1.48316e-05
21,349.767,1.2334,1.71222,1.17431,1.51449,0,0.62633,0.20858,0.27212,0.12083,0.62951,0.21174,0.2772,0.11689,1.70128,2.29976,1.82891,1.58871,0,1.25e-05,1.25e-05,1.25e-05
