epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0862,2.10647,3.58651,3.40592,2.54871,0,0.0785,0.07488,0.03589,0.01011,0.07827,0.07155,0.03408,0.00927,2.19098,3.92638,4.22563,2.71247,0,0.0001,0.0001,0.0001
2,66.1596,2.08267,3.5316,3.29421,2.51372,0,0.10959,0.09715,0.06271,0.01971,0.11033,0.099,0.06109,0.01806,2.06298,3.61319,3.67516,2.52183,0,9.97264e-05,9.97264e-05,9.97264e-05
3,98.2296,1.94757,3.23418,2.91304,2.36613,0,0.15952,0.16057,0.1255,0.04715,0.16759,0.16473,0.12663,0.04492,1.97826,3.344,3.19763,2.39661,0,9.89085e-05,9.89085e-05,9.89085e-05
4,130.121,1.92954,3.13662,2.78374,2.35245,0,0.20591,0.20383,0.18421,0.07533,0.21105,0.20799,0.18559,0.0716,1.92807,3.20163,2.87082,2.33063,0,9.75553e-05,9.75553e-05,9.75553e-05
5,162.107,1.91372,3.07842,2.69866,2.32377,0,0.21903,0.20558,0.19276,0.08168,0.22337,0.2143,0.19679,0.07966,1.89671,3.10788,2.75818,2.30441,0,9.56816e-05,9.56816e-05,9.56816e-05
6,194.059,1.88361,3.01962,2.65441,2.29472,0,0.22605,0.20965,0.1971,0.08288,0.23592,0.2188,0.20267,0.08291,1.86225,3.03916,2.72802,2.27702,0,9.3308e-05,9.3308e-05,9.3308e-05
7,226.005,1.84485,2.99507,2.66137,2.28416,0,0.72181,0.20549,0.19845,0.08367,0.7414,0.2188,0.21206,0.08838,1.84009,2.96928,2.65842,2.27012,0,9.04604e-05,9.04604e-05,9.04604e-05
8,257.93,1.82685,3.00129,2.57858,2.28246,0,0.7384,0.18802,0.20092,0.0855,0.75422,0.2005,0.21581,0.09166,1.8283,2.92085,2.6118,2.26191,0,8.71701e-05,8.71701e-05,8.71701e-05
9,289.787,1.83225,2.94027,2.55036,2.27486,0,0.74594,0.19135,0.20678,0.09073,0.75383,0.20965,0.21932,0.09754,1.80972,2.8406,2.54877,2.24268,0,8.34731e-05,8.34731e-05,8.34731e-05
10,321.99,1.80858,2.8887,2.50128,2.23585,0,0.74563,0.18959,0.21287,0.09392,0.75617,0.20133,0.22578,0.09996,1.82003,2.84392,2.50954,2.25194,0,7.94099e-05,7.94099e-05,7.94099e-05
