epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,35.101,2.92365,5.39068,3.58488,2.63425,0,0.0722,0.0807,0.04036,0.0111,0.08403,0.07488,0.03817,0.01017,2.91919,5.22475,4.16772,2.71183,0,0.0001,0.0001,0.0001
2,66.2483,2.8433,5.1159,3.44237,2.55782,0,0.08303,0.10067,0.05258,0.01595,0.10382,0.08403,0.05144,0.0146,2.83165,4.94119,3.86357,2.60661,0,9.97264e-05,9.97264e-05,9.97264e-05
3,98.319,2.73809,4.7966,3.09875,2.45475,0,0.1401,0.16387,0.11312,0.03959,0.14641,0.16889,0.11714,0.03812,2.67754,4.49829,3.29629,2.43507,0,9.89085e-05,9.89085e-05,9.89085e-05
4,130.373,2.73242,4.71508,3.00873,2.45426,0,0.17323,0.20632,0.16144,0.06427,0.1789,0.19634,0.16783,0.06217,2.60705,4.28788,3.0068,2.35229,0,9.75553e-05,9.75553e-05,9.75553e-05
5,162.659,2.6913,4.5154,2.93166,2.42285,0,0.21098,0.20715,0.18544,0.0784,0.21785,0.21215,0.19012,0.07469,2.57792,4.21317,2.84704,2.33492,0,9.56816e-05,9.56816e-05,9.56816e-05
6,194.755,2.61133,4.44605,2.80259,2.38392,0,0.21578,0.20632,0.1899,0.08174,0.22188,0.21714,0.19362,0.07778,2.52077,4.16559,2.78091,2.30347,0,9.3308e-05,9.3308e-05,9.3308e-05
7,226.944,2.61554,4.42576,2.78207,2.35795,0,0.71695,0.203,0.18383,0.07792,0.72822,0.20549,0.19444,0.07772,2.48897,4.14458,2.76895,2.29033,0,9.04604e-05,9.04604e-05,9.04604e-05
8,258.8,2.60192,4.45983,2.79087,2.36538,0,0.72025,0.19634,0.18618,0.07941,0.73428,0.20632,0.19948,0.08192,2.46339,4.02967,2.725,2.2758,0,8.71701e-05,8.71701e-05,8.71701e-05
9,291.195,2.49373,4.22114,2.68394,2.28349,0,0.72816,0.19468,0.18614,0.07986,0.74554,0.20466,0.20168,0.08432,2.45088,3.96111,2.67458,2.26851,0,8.34731e-05,8.34731e-05,8.34731e-05
10,323.531,2.46784,4.14939,2.59372,2.26988,0,0.72276,0.19384,0.19096,0.0819,0.73916,0.20291,0.20756,0.0868,2.42781,3.86111,2.60404,2.24867,0,7.94099e-05,7.94099e-05,7.94099e-05
11,355.616,2.50672,4.26014,2.61528,2.30516,0,0.72695,0.18602,0.18948,0.08018,0.74347,0.19468,0.20336,0.08551,2.43201,3.85715,2.56625,2.25766,0,7.5025e-05,7.5025e-05,7.5025e-05
12,387.536,2.51584,4.19467,2.57607,2.30655,0,0.72869,0.18303,0.19611,0.08341,0.74221,0.19384,0.20861,0.08824,2.41594,3.80779,2.51821,2.24854,0,7.03665e-05,7.03665e-05,7.03665e-05
13,419.729,2.43724,4.05026,2.4876,2.25469,0,0.73606,0.18802,0.20232,0.08537,0.74494,0.19634,0.21306,0.09049,2.38708,3.78341,2.47987,2.23151,0,6.54854e-05,6.54854e-05,6.54854e-05
14,452.238,2.51281,4.24986,2.61836,2.30973,0,0.737,0.19118,0.20588,0.08827,0.74296,0.198,0.21657,0.09374,2.38534,3.74894,2.44608,2.22294,0,6.04352e-05,6.04352e-05,6.04352e-05
15,484.852,2.4857,4.21456,2.56745,2.30939,0,0.73256,0.19384,0.21044,0.09138,0.74162,0.20383,0.22246,0.09635,2.38024,3.74717,2.417,2.22021,0,5.52712e-05,5.52712e-05,5.52712e-05
16,517.079,2.51227,4.15848,2.56002,2.3267,0,0.73716,0.20043,0.21981,0.09637,0.74164,0.21298,0.23014,0.10277,2.37088,3.6896,2.37865,2.20464,0,5.005e-05,5.005e-05,5.005e-05
17,549.289,2.50612,4.13694,2.44706,2.25531,0,0.73436,0.20466,0.2231,0.09766,0.74198,0.21131,0.23187,0.10298,2.3767,3.69484,2.36575,2.20568,0,4.48288e-05,4.48288e-05,4.48288e-05
18,581.757,2.48495,4.05794,2.47379,2.29164,0,0.74055,0.20882,0.2237,0.09838,0.75014,0.21714,0.23376,0.10351,2.3795,3.68811,2.34728,2.20362,0,3.96648e-05,3.96648e-05,3.96648e-05
19,614.008,2.51186,4.14417,2.51599,2.29388,0,0.74485,0.20466,0.22508,0.09954,0.74856,0.21301,0.2342,0.10436,2.38047,3.68238,2.34408,2.20196,0,3.46146e-05,3.46146e-05,3.46146e-05
20,646.403,2.50672,4.14199,2.51511,2.31209,0,0.74741,0.2005,0.22376,0.0988,0.75402,0.20799,0.23242,0.10451,2.37804,3.69012,2.3358,2.20024,0,2.97335e-05,2.97335e-05,2.97335e-05
21,678.699,2.42795,3.77308,2.40117,2.26201,0,0.72605,0.20965,0.22441,0.09844,0.7293,0.21494,0.23073,0.1046,2.37726,3.69616,2.35357,2.19566,0,2.5075e-05,2.5075e-05,2.5075e-05
22,710.347,2.39604,3.72921,2.40372,2.24952,0,0.73005,0.2005,0.22168,0.09774,0.73149,0.21381,0.22978,0.1041,2.37529,3.74723,2.35159,2.19369,0,2.06901e-05,2.06901e-05,2.06901e-05
23,742.251,2.38803,3.74798,2.33642,2.20567,0,0.72085,0.21048,0.22475,0.09943,0.73295,0.21797,0.23382,0.10574,2.3798,3.68968,2.33803,2.19791,0,1.66269e-05,1.66269e-05,1.66269e-05
24,774.26,2.38867,3.71638,2.38065,2.23519,0,0.73944,0.20549,0.22744,0.09992,0.74714,0.21298,0.23566,0.10666,2.38736,3.67347,2.328,2.20387,0,1.29299e-05,1.29299e-05,1.29299e-05
25,806.194,2.41567,3.70292,2.37711,2.26496,0,0.73839,0.20544,0.22982,0.10285,0.74548,0.21963,0.24127,0.10989,2.37817,3.63758,2.31974,2.1948,0,9.6396e-06,9.6396e-06,9.6396e-06
26,838.363,2.39325,3.71242,2.35365,2.22331,0,0.74084,0.20549,0.23129,0.10346,0.74859,0.21631,0.24114,0.11006,2.39157,3.63138,2.31389,2.20047,0,6.79203e-06,6.79203e-06,6.79203e-06
27,870.264,2.39699,3.69032,2.3528,2.23894,0,0.74033,0.20466,0.23191,0.10338,0.75108,0.21381,0.24283,0.11036,2.3931,3.63103,2.31402,2.20393,0,4.4184e-06,4.4184e-06,4.4184e-06
28,902.224,2.401,3.72173,2.34722,2.22357,0,0.73736,0.20965,0.23166,0.10294,0.74352,0.21714,0.24042,0.11017,2.39941,3.64638,2.31272,2.20676,0,2.54473e-06,2.54473e-06,2.54473e-06
29,933.959,2.42672,3.74971,2.37896,2.25119,0,0.73827,0.21131,0.23339,0.10434,0.7472,0.21797,0.24484,0.11149,2.39268,3.61285,2.30578,2.20401,0,1.19153e-06,1.19153e-06,1.19153e-06
30,965.938,2.42036,3.67041,2.34357,2.24844,0,0.74013,0.21048,0.23482,0.10508,0.75152,0.22047,0.24583,0.112,2.38268,3.61443,2.30077,2.1962,0,3.73631e-07,3.73631e-07,3.73631e-07
