epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,34.5866,1.42048,2.09007,1.37672,1.70963,0,0.4485,0.54348,0.4982,0.31552,0.4548,0.55951,0.50823,0.32034,1.32163,1.79565,1.3048,1.67043,0,0.0001,0.0001,0.0001
2,65.4732,1.40678,2.10027,1.3925,1.69051,0,0.46478,0.54285,0.48958,0.29909,0.47493,0.55466,0.50147,0.30918,1.37586,1.80393,1.2971,1.73013,0,9.97288e-05,9.97288e-05,9.97288e-05
3,96.7838,1.39554,2.02558,1.32863,1.67838,0,0.46594,0.56005,0.49913,0.31323,0.47056,0.56938,0.51158,0.31486,1.33532,1.83922,1.2508,1.69259,0,9.89183e-05,9.89183e-05,9.89183e-05
4,128.358,1.37251,1.98904,1.34763,1.67566,0,0.45698,0.53916,0.49619,0.30994,0.44413,0.58875,0.50987,0.31405,1.34127,1.8287,1.25908,1.69404,0,9.75773e-05,9.75773e-05,9.75773e-05
5,159.729,1.39159,2.04637,1.35857,1.69035,0,0.46883,0.57244,0.49753,0.30289,0.46502,0.58449,0.50932,0.31453,1.37054,1.78979,1.27089,1.71225,0,9.57205e-05,9.57205e-05,9.57205e-05
6,191.191,1.39059,2.09266,1.34865,1.67649,0,0.46345,0.55037,0.4996,0.3082,0.46944,0.55748,0.51063,0.31535,1.33078,1.77639,1.25611,1.68219,0,9.33683e-05,9.33683e-05,9.33683e-05
7,222.569,1.3883,2.02022,1.33779,1.66663,0,0.48376,0.54068,0.50498,0.31572,0.48972,0.55075,0.51381,0.32376,1.31478,1.7861,1.25192,1.67511,0,9.05463e-05,9.05463e-05,9.05463e-05
8,254.291,1.39402,2.06425,1.33233,1.67574,0,0.45033,0.57942,0.5067,0.31654,0.45869,0.58653,0.51663,0.32361,1.32207,1.79708,1.25693,1.6857,0,8.72857e-05,8.72857e-05,8.72857e-05
9,285.948,1.3571,1.95495,1.29022,1.64756,0,0.46349,0.56588,0.50545,0.31476,0.4633,0.58184,0.51526,0.31852,1.32687,1.81535,1.26385,1.68721,0,8.3622e-05,8.3622e-05,8.3622e-05
10,317.564,1.40484,2.08946,1.35617,1.70129,0,0.4343,0.57079,0.4918,0.30544,0.43459,0.58234,0.50308,0.30985,1.33614,1.81904,1.27764,1.69815,0,7.95954e-05,7.95954e-05,7.95954e-05
11,348.908,1.38986,2.06172,1.35789,1.69189,0,0.42869,0.5739,0.49135,0.30669,0.42982,0.59656,0.50273,0.31154,1.33582,1.8071,1.27289,1.69522,0,7.525e-05,7.525e-05,7.525e-05
12,380.59,1.4063,2.08688,1.34157,1.69746,0,0.437,0.57556,0.49783,0.30987,0.43683,0.60087,0.50936,0.31718,1.34245,1.79305,1.26278,1.6951,0,7.06335e-05,7.06335e-05,7.06335e-05
13,411.964,1.41456,2.05804,1.34235,1.69964,0,0.44245,0.58038,0.50307,0.31641,0.44834,0.59629,0.51675,0.32472,1.34537,1.7914,1.25158,1.69034,0,6.57963e-05,6.57963e-05,6.57963e-05
14,443.949,1.37912,2.01129,1.29857,1.66102,0,0.44234,0.55195,0.50338,0.31581,0.44998,0.5849,0.51669,0.32458,1.33476,1.78333,1.2521,1.6846,0,6.07916e-05,6.07916e-05,6.07916e-05
15,475.351,1.3651,1.99409,1.29406,1.65798,0,0.44309,0.56007,0.5028,0.31626,0.44492,0.58969,0.51658,0.32513,1.32923,1.79366,1.25867,1.68018,0,5.56742e-05,5.56742e-05,5.56742e-05
16,507.065,1.38066,2.00539,1.3125,1.67512,0,0.46798,0.5377,0.50453,0.31642,0.47404,0.54681,0.51614,0.32341,1.32287,1.79433,1.25491,1.67883,0,5.05e-05,5.05e-05,5.05e-05
17,538.363,1.3648,2.04099,1.31752,1.67322,0,0.46797,0.54227,0.50374,0.31552,0.47453,0.55362,0.51587,0.32334,1.32916,1.79472,1.25913,1.68579,0,4.53258e-05,4.53258e-05,4.53258e-05
18,569.889,1.34734,1.9613,1.27027,1.65357,0,0.47355,0.52623,0.49875,0.31051,0.48381,0.55374,0.51378,0.31933,1.33415,1.79165,1.27118,1.69337,0,4.02084e-05,4.02084e-05,4.02084e-05
19,601.208,1.35388,1.99803,1.27572,1.6515,0,0.46894,0.53988,0.49804,0.31129,0.47582,0.55906,0.5135,0.3195,1.33573,1.79095,1.26699,1.69368,0,3.52037e-05,3.52037e-05,3.52037e-05
20,632.565,1.36805,1.97596,1.26797,1.66328,0,0.45941,0.54136,0.49901,0.31219,0.45854,0.57291,0.51441,0.31845,1.33138,1.79121,1.26888,1.69454,0,3.03665e-05,3.03665e-05,3.03665e-05
21,664.606,1.2981,1.8414,1.16323,1.61858,0,0.45929,0.54748,0.50025,0.31242,0.47056,0.57722,0.51533,0.3194,1.3334,1.79901,1.26986,1.69466,0,2.575e-05,2.575e-05,2.575e-05
22,695.861,1.31541,1.8346,1.17135,1.62222,0,0.47098,0.5492,0.50191,0.3128,0.48109,0.56633,0.51712,0.32027,1.33667,1.80111,1.27026,1.69446,0,2.14046e-05,2.14046e-05,2.14046e-05
23,727.176,1.30023,1.84034,1.16699,1.59574,0,0.48386,0.53985,0.50282,0.31503,0.4735,0.56467,0.51792,0.32143,1.33573,1.80384,1.26657,1.69245,0,1.7378e-05,1.7378e-05,1.7378e-05
