epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,150.7,1.97248,3.12081,2.72102,2.12923,0,0.02913,0.06988,0.02069,0.0066,0.02921,0.06905,0.02147,0.00606,2.20606,4.0727,15.1923,2.65798,0,0.000332449,0.000332449,0.0670875
2,295.235,1.96363,2.97208,2.41616,2.18861,0,0.73359,0.18163,0.17859,0.06562,0.74155,0.19218,0.19012,0.06663,2.08888,3.42018,2.73524,2.5527,0,0.00066562,0.00066562,0.0340874
3,439.274,1.92754,2.89472,2.39047,2.19565,0,0.71535,0.17554,0.15356,0.06188,0.7225,0.18136,0.1706,0.06727,2.15197,3.30698,3.19596,2.52039,0,0.00099814,0.00099814,0.00108656
4,583.306,1.86586,2.78856,2.24428,2.09451,0,0.68211,0.1772,0.17555,0.06015,0.68211,0.1772,0.1699,0.0541,2.12658,3.45869,2.67399,2.52072,0,0.000997803,0.000997803,0.000997803
5,727.202,1.83638,2.75817,2.21612,2.10269,0,0.60189,0.22296,0.10125,0.03664,0.6068,0.2421,0.11589,0.04532,1.99728,2.94742,3.33552,2.37702,0,0.000996097,0.000996097,0.000996097
6,871.233,1.83165,2.72747,2.18695,2.09327,0,0.3368,0.33097,0.25976,0.11904,0.35168,0.33411,0.2662,0.12187,1.85978,2.77261,2.47255,2.26728,0,0.000993906,0.000993906,0.000993906
7,1015.66,1.81336,2.65634,2.126,2.0696,0,0.73015,0.22712,0.23668,0.09871,0.72507,0.23544,0.24585,0.10143,1.89088,2.87301,2.70859,2.28889,0,0.000991232,0.000991232,0.000991232
8,1159.69,1.76064,2.62923,2.0622,2.02815,0,0.72169,0.18636,0.20486,0.0884,0.69928,0.19634,0.20273,0.07469,2.03047,3.51031,2.82942,2.45216,0,0.000988079,0.000988079,0.000988079
9,1303.53,1.7711,2.58101,2.0793,2.01061,0,0.78353,0.21131,0.28413,0.13188,0.78912,0.21298,0.28634,0.13204,1.95449,3.08992,2.30097,2.30479,0,0.000984449,0.000984449,0.000984449
10,1447.71,1.75439,2.62428,2.00463,2.01039,0,0.62894,0.23544,0.17976,0.07172,0.64654,0.22629,0.20093,0.09034,1.81434,2.50993,2.6882,2.2049,0,0.000980345,0.000980345,0.000980345
11,1591.58,1.71533,2.51365,1.93358,1.97452,0,0.7798,0.23997,0.30695,0.14843,0.78539,0.24709,0.31736,0.15934,1.84888,2.5761,2.29001,2.23452,0,0.000975773,0.000975773,0.000975773
12,1735.6,1.73485,2.53573,1.94489,1.99242,0,0.78947,0.25051,0.33228,0.17377,0.79709,0.25541,0.34362,0.18136,1.64794,2.43365,2.04317,2.07641,0,0.000970736,0.000970736,0.000970736
13,1879.6,1.71707,2.52918,1.96203,1.95725,0,0.29167,0.37931,0.32318,0.16843,0.29761,0.38536,0.33686,0.17665,1.67836,2.41334,1.98873,2.06482,0,0.000965239,0.000965239,0.000965239
